Brand_URL,Brand_Name,Brand_Rating,Brand_Summary
https://directory.goodonyou.eco/brand/pansy,Pansy,Overall rating: Good,Pansy is a California based basics brand that offers organic cotton underwear for all beautiful sizes.
https://directory.goodonyou.eco/brand/cotopaxi,Cotopaxi,Overall rating: Good,Cotopaxi is a clothing label that creates innovative outdoor products that help relieve poverty and move people to do good.
https://directory.goodonyou.eco/brand/camp-cove-swim,Camp Cove Swim,Overall rating: Good,"Camp Cove Swim is an Australian designed and made swimwear label that combines comfort, individuality, and a love of retro styling to all of its pieces."
https://directory.goodonyou.eco/brand/lamade-clothing,LAmade Clothing,Overall rating: Good,"Born in Los Angeles in 2004, LAmade has and continues to be the embodiment of Southern California style."
https://directory.goodonyou.eco/brand/dazey-la,Dazey LA,Overall rating: Good,Dazey LA is an art apparel and accessories brand that features hand drawn designs inspired by '70s posters and vintage graphic art.
https://directory.goodonyou.eco/brand/caur,caur,Overall rating: Good,"Caur is a French brand that believes in taking care of yourself and the planet, designing sportswear with recycled, organic, and recyclable technical fabrics."
https://directory.goodonyou.eco/brand/frugi,Frugi,Overall rating: Good,Frugi is a UK based brand that curates clothing for babies and children.
https://directory.goodonyou.eco/brand/zerobarracento,ZEROBARRACENTO,Overall rating: Good,ZEROBARRACENTO creates zero-waste silhouettes that celebrate the personality of those who wear it.
https://directory.goodonyou.eco/brand/honest-basics,Honest Basics,Overall rating: Great,Honest Basics is a GOTS-certified basics brand based in Europe.
https://directory.goodonyou.eco/brand/cariuma,CARIUMA,Overall rating: Good,"CARIUMA is a Brazilian sneaker brand that wants you to feel crazy comfortable while providing effortless style in organic canvas, leather, and suede styles."
https://directory.goodonyou.eco/brand/unrecorded,Unrecorded,Overall rating: Good,Unrecorded is an independent clothing label from the Netherlands that represents a new wave of unisex brands that are rebelling against the nature of gendered fashion.
https://directory.goodonyou.eco/brand/noctu,Noctu,Overall rating: Great,Noctu is a UK based brand that creates beautiful and comfortable nightwear and loungewear made with the softest organic cotton.
https://directory.goodonyou.eco/brand/la-fille-do,la fille d'O,Overall rating: Good,"la fille d'O is an avant-garde lingerie brand that supports all bodies, whilst empowering individual attitudes without compromises."
https://directory.goodonyou.eco/brand/the-ethical-silk-company,The Ethical Silk Company,Overall rating: Good,"The Ethical Silk Company produces pillowcases, scarves, wraps and loungewear made from 100% natural mulberry silk."
https://directory.goodonyou.eco/brand/sorella-organics,Sorella Organics,Overall rating: Great,Sorella Organics is an Australian brand that houses a wide collection of organic cotton sleepwear and loungewear for men and women.
